Spanish,English
abrir,to open
descubrir,to discover
permitir,to permit
admitir,to admit
discutir,to discuss
recibir,to receive
asistir a,to attend
escribir,to write
subir,to climb / go up
cubrir,to cover
existir,to exist
sufrir,to suffer
decidir,to decide
omitir,to omit
unir,to unite
describir,to describe
partir,to divide
vivir,to live
