Spanish,English
Uno,1
Dos,2
Tres,3
Cuatro,4
Cinco,5
Seis,6
Siete,7
Ocho,8
Nueve,9
Diez,10
Once,11
Doce,12
Trece,13
Catorce,14
Quince,15
Dieciséis,16
Diecisiete,17
Dieciocho,18
Diecinueve,19
Veinte,20
Veintiuno,21
Veintidós,22
Veintitrés,23
Veinticuatro,24
Veinticinco,25
Veintiséis,26
Veintisiete,27
Veintiocho,28
Veintinueve,29
Treinta,30
