Spanish,English
La mesa,table
La silla,chair
La bolsa,bag
El libro,book
El espejo,mirror
El bolígrafo,pen
La pluma,pen
La ciudad,city
El avión,plane
El lápiz,pencil
La voz,voice
El paraguas,umbrella
El abrelatas,Can opener
