Spanish,English
alto/a,tall
pequeño/a,little
poco/a,little (not much)
mucho/a,a lot / much
bonito/a,pretty / nice
guapo/a,handsome / good-looking
rubio/a,blond
inteligente,intelligent
agradable,pleasant / nice
enorme,huge / enormous
joven,young
