Spanish,English
Día,day
Mañana,tomorrow
Hoy,today
el/los lunes,Monday
el/los martes,Tuesday
el/los miércoles,Wednesday
el/los jueves,Thursday
el/los viernes,Friday
el/los sábados,Saturday
el/los domingos,Sunday
