Spanish,English
día,day
Mañana,tomorrow
el/los lunes,Monday
el/los martes,Tuesday
el/los miércoles,Wednesday
el/los jueves,Thursday
el/los viernes,Friday
el/los sábados,Saturday
el/los domingos,Sunday
