Spanish,English,yo,tu,el,nosotros,vosotros,ellos
ser,to be,soy,eres,es,somos,sois,son
ir,to go,voy,vas,va,vamos,vais,van
tener,to have,tengo,tienes,tiene,tenemos,tenéis,tienen
