Spanish,English
aprender,to learn
creer,to believe
poseer,to possess / own
beber,to drink
deber,to have to / owe
prometer,to promise
comer,to eat
esconder,to hide
romper,to break
comprender,to understand
leer,to read
temer,to fear
correr,to run
meter en,to put into
vender,to sell
