Spanish,English
yo,I
usted,You (singular, formal)
tú,You (singular, informal)
él / ella,He / She
nosotros / nosotras,We (masculine or mixed group / feminine)
ustedes,You-all (formal)
vosotros / vosotras,You-all (informal) (masculine or mixed group / feminine)
ellos / ellas,They (masculine or mixed group / feminine)
